PLZ_K,STADT_K,lat,lon
24976,Handewitt,54.7634057335,9.32490895545
12529,Berlin,52.52468,13.40535
24109,Kiel Mettenhof,54.3163100635459,10.0489528983832
24941,Jarplund-Weding,54.7433859239,9.38503158147
9120,Chemnitz,50.8333,12.9167
24113,Molfsee,54.2645626120845,10.0659111648799
23556,Lübeck,53.86956,10.68713
24558,Henstedt-Ulzburg,53.79032,9.9803
22869,Schenefeld bei Hamburg,53.60085,9.82257
2625,Bautzen,51.18072,14.42792
20457,Hamburg,53.554423,9.994583
12487,Berlin Treptow-Köpenick,52.445817,13.574588
4155,Leipzig,51.3396,12.3713
1067,Dresden,51.05,13.75
1097,Dresden,51.05,13.75
24119,Kronshagen,54.3314414549232,10.0852312356234
17192,Groß Dratow Klein Dratow,53.5056752356192,12.8741554077149
18273,Güstrow Güstrow,53.80412,12.18655
63067,Offenbach am Main,50.1,8.76667
50670,Köln,50.9333,6.95
10785,Berlin,52.52468,13.40535
18442,Neu Bartelshagen Lassentin,54.33058,12.90221
34117,Kassel,51.316944,9.4925
35390,Gießen,50.5833,8.65
18507,Grimmen Jessin,54.09094,13.01477
18184,Broderstorf Ikendorf,54.07582,12.25814
18182,Rövershagen,54.17642,12.23382
19055,Schwerin,53.63281,11.41422
18059,Pölchow Huckstorf,53.9844,12.11161
18069,Lambrechtshagen,54.10206,12.01595
24376,Arnis,54.63036,9.93159
24116,Kiel,54.3226843669499,10.1358638465405
59192,Bergkamen,51.61429,7.64089999999999
23795,Groß Rönnau,53.97226,10.31196
6632,Freyburg (Unstrut),51.2177983484528,11.7680947486879
1099,Dresden,51.05,13.75
24539,Neumünster,54.07402,9.984512
22303,Hamburg Hamburg-Nord,53.6153,9.99269
50668,Köln,50.9333,6.95
19386,Werder bei Lübz,53.50029,12.0096599999999
25436,Moorrege bei Uetersen,53.6677402529403,9.65997231347566
22525,Hamburg Altona,53.55506,9.94196
17491,Greifswald,54.0888132703675,13.3944205793762
1445,Radebeul,51.1117214378571,13.649485015869
8371,Glauchau,50.8167,12.5333
9112,Chemnitz,50.8333,12.9167
35582,Wetzlar,50.55,8.5
34121,Kassel,51.316944,9.4925
19061,Schwerin,53.60716,11.46771
19230,Warlitz,53.3782,11.14941
18106,Rostock Evershagen,54.11616,12.05916
19374,Grebbin Kossebade,53.53182,11.8413
23936,Grieben bei Grevesmühlen,53.8422,11.04943
19412,Weitendorf bei Sternberg,53.71757,11.7510600000001
19053,Schwerin,53.63281,11.41422
24145,Kiel,54.2621477409145,10.1496262609959
1257,Dresden,51.05,13.75
1968,Senftenberg,51.50423,13.97623
4109,Leipzig,51.3396,12.3713
8523,Plauen,50.5,12.1333
4105,Leipzig,51.3396,12.3713
20350,Hamburg,53.554423,9.994583
61169,Friedberg (Hessen),50.35,8.76667
4299,Leipzig,51.3396,12.3713
1307,Dresden,51.05,13.75
63303,Dreieich,50.0,8.7
9116,Chemnitz,50.8333,12.9167
24161,Altenholz,54.4016457700682,10.1185690820218
24937,Flensburg Friesischer Berg,54.77148,9.40625
19057,Schwerin,53.63281,11.41422
18146,Rostock Toitenwinkel,54.11695,12.13897
18439,Stralsund Frankensiedlung,54.267733,13.080098
82049,Pullach im Isartal,48.05,11.5333
80636,München,48.1374,11.5755
22529,Hamburg Eimsbüttel,53.574444,9.959444
24118,Kiel,54.3226843669499,10.1358638465405
18055,Rostock Kassebohm,54.07529,12.17764
40211,Düsseldorf,51.220507741497,6.81216996826174
41470,Neuss,51.2038721294835,6.68800777252204
64546,Mörfelden-Walldorf,49.9947,8.58361
10587,Berlin Charlottenburg-Wilmersdorf,52.497058,13.29649
80339,München,48.1374,11.5755
1705,Freital,51.0017,13.6488
4463,Großpösna Seifertshain,51.29352331063,12.5178254142945
1328,Dresden,51.05,13.75
1640,Coswig bei Dresden,51.130660800737,13.5780643280029
81673,München,48.1374,11.5755
4178,Leipzig,51.3396,12.3713
6796,Brehna,51.5581118542846,12.2170433227539
7570,Weida,50.7667,12.0667
9128,Chemnitz,50.8333,12.9167
15910,Schönwald bei Lübben,51.99122,13.7752
9212,Limbach-Oberfrohna Kändler,50.8667,12.75
9131,Chemnitz,50.8333,12.9167
4827,Machern bei Wurzen,51.3611534104658,12.6335574920654
60326,Frankfurt am Main Griesheim,50.1,8.6
10787,Berlin Tempelhof-Schöneberg,52.44763,13.38535
4416,Markkleeberg,51.2750049912737,12.3664402008056
8209,Auerbach / Vogtland,50.5167,12.4
1239,Dresden,51.05,13.75
3046,Cottbus,51.75529,14.3330100000001
23701,Süsel,54.07735,10.71555
24103,Kiel,54.3226843669499,10.1358638465405
24223,Schwentinental,54.2944438083405,10.2166636455983
23845,Seth,53.84604,10.17496
4720,Döbeln,51.1167,13.1167
1127,Dresden,51.05,13.75
3096,Briesen,51.8167,14.25
9114,Chemnitz,50.8333,12.9167
40882,Ratingen,51.2965653110169,6.84012947082522
2708,Großschweidnitz,51.07387,14.6481699999999
4107,Leipzig,51.3396,12.3713
64295,Darmstadt,49.8706,8.64944
10117,Berlin,52.52468,13.40535
54294,Trier Euren,49.75,6.63333
60314,Frankfurt am Main Fechenheim,50.1167,8.68333
85774,Unterföhring,48.2,11.6467
9599,Freiberg,50.9167,13.3667
24357,Güby,54.4859065328657,9.66688449680038
24977,Langballig,54.7970142576,9.63691100533
25813,Südermarsch bei Husum,54.4309769913578,9.07681420589033
50672,Köln,50.9333,6.95
24944,Flensburg Mürwik,54.80992,9.46094
9603,Großschirma,50.9667,13.2833
9224,Chemnitz Grüna bei Chemnitz,50.81,12.786
2736,Oppach,51.05799,14.5035399999999
1139,Dresden,51.05,13.75
1454,Radeberg,51.11392,13.91364
4329,Leipzig,51.3396,12.3713
4860,Torgau,51.55746,12.9916000000001
4129,Leipzig,51.3396,12.3713
22765,Hamburg Altona,53.55506,9.94196
25469,Halstenbek,53.63411,9.8376
1109,Dresden,51.05,13.75
1587,Riesa,51.3063320341141,13.2878978729248
9111,Chemnitz,50.8333,12.9167
23562,Lübeck,53.86956,10.68713
24214,Gettorf,54.4069172040774,9.97400405108938
14532,Nuthetal,52.34061,13.11026
4103,Leipzig,51.3396,12.3713
4758,Naundorf bei Oschatz,51.25,13.1167
72818,Trochtelfingen (Hohenzollern),48.3,9.25
9439,Amtsberg,50.75,13.0056
4159,Leipzig,51.3396,12.3713
4838,Doberschütz Paschwitz,51.46602,12.72063
32457,Porta Westfalica,52.2411534918421,8.92470156616207
24143,Kiel,54.3226843669499,10.1358638465405
40549,Düsseldorf,51.220507741497,6.81216996826174
77815,Bühl (Baden),48.7,8.15
24534,Neumünster,54.07402,9.984512
17034,Neubrandenburg,53.56603,13.26944
97084,Würzburg,49.7878,9.93611
1814,Porschdorf,50.9411,14.12853
9366,Stollberg / Erzgebirge,50.7167,12.8
4808,Hohburg bei Wurzen,51.41241,12.80066
4229,Leipzig,51.3396,12.3713
8485,Lengenfeld,50.5667,12.3667
4603,Nobitz,50.9748,12.4909
9618,Brand-Erbisdorf,50.8667,13.3333
50996,Köln,50.9333,6.95
98593,Floh-Seligenthal,50.76,10.4867
9217,Burgstädt,50.9167,12.8167
38855,Schmatzfeld,51.89179,10.76611
97228,Rottendorf,49.8,10.0333
6184,Schkopau,51.38924,11.98541
3222,Lübbenau / Spreewald,51.86469,13.95371
17291,Carmzow-Wallmow Wallmow,53.34133,14.08544
19370,Parchim Kiekindemark,53.3972861804682,11.780648803711
23909,Giesensdorf bei Ratzeburg,53.68851,10.71397
8373,Remse bei Glauchau,50.85,12.5667
6112,Halle (Saale),51.4804145230098,11.9688556269837
8645,Bad Elster,50.2833,12.2333
20354,Hamburg Eimsbüttel,53.574444,9.959444
24114,Kiel,54.3226843669499,10.1358638465405
44803,Bochum,51.46785,7.19654000000003
25746,Ostrohe,54.214810444152,9.137088806873
22113,Oststeinbek,53.54221,10.16569
25761,Westerdeichstrich,54.16132,8.86023
23769,Fehmarn Westfehmarn,54.45443,11.10231
18147,Rostock Toitenwinkel,54.11695,12.13897
18311,Ribnitz-Damgarten Damgarten,54.25877,12.4719700000001
10557,Berlin,52.52468,13.40535
23554,Lübeck,53.86956,10.68713
76139,Karlsruhe (Baden) Hagsfeld,49.0047,8.38583
82110,Germering,48.1333,11.3667
80807,München,48.1374,11.5755
10963,Berlin Friedrichshain-Kreuzberg,52.5015,13.43512
25821,Struckum,54.5935829601572,8.99120628833772
24768,Schülp bei Rendsburg Nübbel,54.271537135276,9.62824486339644
25336,Elmshorn,53.7552973008561,9.65623957259651
25462,Rellingen,53.65161,9.82942
50679,Köln,50.9333,6.95
99094,Erfurt Schmira,50.9833,11.0333
1809,Dohna,50.95673,13.85815
4277,Leipzig,51.3396,12.3713
9648,Mittweida,50.9833,12.9833
9247,Limbach-Oberfrohna Kändler,50.8667,12.75
24589,Ellerdorf,54.1930774566587,9.84013468170718
21521,Wohltorf,53.51973,10.2784
23568,Lübeck,53.86956,10.68713
25866,Mildstedt,54.4606076571678,9.09520678365771
17087,Altentreptow Rosemarsow,53.7321185563838,13.243018777771
8056,Zwickau,50.7333,12.5
4519,Rackwitz,51.43872,12.37582
9456,Annaberg-Buchholz,50.5667,13.0
6237,Leuna,51.32354,12.02457
8237,Steinberg,50.5389,12.4778
8062,Zwickau,50.7333,12.5
1855,Kirnitzschtal,50.94301,14.24472
23758,Oldenburg in Holstein,54.2916939035514,10.8867433692694
24568,Oersdorf bei Neumünster,53.84017,9.99358
10553,Berlin,52.52468,13.40535
22297,Hamburg Hamburg-Nord,53.6153,9.99269
18057,Rostock,54.08369,12.10063
22453,Hamburg Eimsbüttel,53.574444,9.959444
80802,München,48.1374,11.5755
40233,Düsseldorf,51.220507741497,6.81216996826174
16798,Fürstenberg / Havel Himmelpfort,53.1784,13.227403
17109,Demmin,53.90592,13.04979
34131,Kassel,51.316944,9.4925
24848,Owschlag Boklund,54.4230909140617,9.56741611658759
22335,Hamburg Hamburg-Nord,53.6153,9.99269
21614,Buxtehude,53.47632,9.70545
23560,Lübeck,53.86956,10.68713
24106,Kiel Wik,54.3554955280066,10.1351243466139
31552,Apelern,52.3023,9.31588
24229,Dänischenhagen,54.4245524172928,10.1276704877616
70567,Stuttgart,48.7823,9.177
20095,Hamburg,53.554423,9.994583
10179,Berlin,52.52468,13.40535
22299,Hamburg Hamburg-Nord,53.6153,9.99269
60327,Frankfurt am Main,50.1167,8.68333
19300,Brunow bei Parchim,53.26244,11.81313
1189,Dresden,51.05,13.75
65189,Wiesbaden,50.0833,8.25
23743,Grömitz,54.15113,10.95649
83707,Bad Wiessee,47.7167,11.7167
61352,Bad Homburg vor der Höhe,50.2167,8.61667
9337,Hohenstein-Ernstthal,50.8,12.7167
60486,Frankfurt am Main Rödelheim,50.1167,8.68333
25826,Sankt Peter-Ording,54.3070963528309,8.63601868195536
1744,Dippoldiswalde,50.8957530080532,13.6677299682617
23569,Lübeck,53.86956,10.68713
65760,Eschborn,50.1333,8.55
1277,Dresden,51.05,13.75
4618,Frohnsdorf bei Altenburg,50.9359,12.5858
23552,Lübeck,53.86956,10.68713
1723,Wilsdruff,51.0505125865027,13.5364757354737
4425,Taucha bei Leipzig,51.3799371431262,12.4935853915406
4315,Leipzig,51.3396,12.3713
4209,Leipzig,51.3396,12.3713
9405,Gornau / Erzgebirge,50.7667,13.0167
1900,Bretnig-Hauswalde Röderhäuser,51.16536,14.06299
49429,Visbek,52.83496,8.3125
22767,Hamburg Altona,53.55506,9.94196
35576,Wetzlar,50.55,8.5
35415,Pohlheim,50.5167,8.7
70191,Stuttgart,48.7823,9.177
81829,München,48.1374,11.5755
60313,Frankfurt am Main,50.1167,8.68333
4158,Leipzig,51.3396,12.3713
20459,Hamburg,53.554423,9.994583
81675,München,48.1374,11.5755
24232,Schönkirchen,54.339149417959,10.2225421130657
4668,Otterwisch,51.2,12.6167
24782,Büdelsdorf,54.31408,9.66324
19059,Schwerin,53.63281,11.41422
4683,Naunhof bei Grimma,51.2784681382148,12.5917602539063
9119,Chemnitz,50.8333,12.9167
4552,Lobstädt,51.1333,12.45
63263,Neu-Isenburg,50.05,8.7
1665,Triebischtal Perne,51.0894,13.4182
24943,Tastrup bei Flensburg,54.7650937115,9.4772163039
17255,Wesenberg,53.20742,12.99518
1156,Dresden Cossebaude,51.0882395539565,13.6393642425537
23966,Dorf Mecklenburg Moidentin,53.82156,11.4854800000001
19067,Cambs,53.7003,11.52941
22885,Barsbüttel,53.56842,10.16282
18609,Ostseebad Binz,54.4015402349705,13.6099193756104
17489,Greifswald,54.0888132703675,13.3944205793762
19306,Neustadt-Glewe,53.37474,11.59163
19063,Schwerin,53.60716,11.46771
7545,Gera Untermhaus,50.8667,12.0833
9244,Lichtenau bei Chemnitz,50.9083,12.9917
24107,Ottendorf bei Kiel,54.3402480875188,10.0444160610438
30657,Hannover,52.38447,9.72693000000004
25541,Brunsbüttel,53.897863,9.128617
24105,Kiel,54.3226843669499,10.1358638465405
25524,Heiligenstedtenerkamp,53.899874,9.468966
51149,Köln,50.9333,6.95
20537,Hamburg,53.554423,9.994583
23968,Zierow,53.92742,11.37768
29525,Uelzen,52.96601,10.55776
24537,Neumünster,54.07402,9.984512
51103,Köln,50.9333,6.95
96476,Bad Rodach,50.3333,10.7833
65926,Frankfurt am Main,50.1167,8.68333
53113,Bonn,50.7333,7.1
23558,Lübeck,53.86956,10.68713
17309,Rollwitz,53.47235,13.97754
19246,Vellahn,53.39972,10.96878
19258,Boizenburg / Elbe Boizenburg,53.38084,10.71892
25335,Elmshorn,53.7552973008561,9.65623957259651
1219,Dresden,51.05,13.75
7973,Greiz,50.6577,12.1905
9496,Marienberg,50.65,13.1667
8132,Mülsen,50.7448,12.5748
1259,Dresden,51.05,13.75
12355,Berlin,52.52468,13.40535
39112,Magdeburg,52.13196,11.62658
23970,Benz bei Wismar Kalsow,53.92149,11.5788700000001
19399,Techentin bei Lübz Augzin,53.5680617546966,11.961674894104
9126,Chemnitz,50.8333,12.9167
1237,Dresden,51.05,13.75
8648,Bad Brambach,50.2167,12.3167
4356,Leipzig,51.3396,12.3713
22041,Hamburg Wandsbek,53.581944,10.084167
24646,Warder bei Neumünster,54.21272,9.88471
25421,Pinneberg,53.66282,9.79665
99084,Erfurt,50.9833,11.0333
10961,Berlin Friedrichshain-Kreuzberg,52.5015,13.43512
24955,Harrislee,54.800799,9.386276
20097,Hamburg,53.554423,9.994583
25337,Elmshorn,53.7552973008561,9.65623957259651
2828,Görlitz,51.15268,14.97056
25980,Westerland,54.907748,8.308755
20099,Hamburg,53.554423,9.994583
95126,Schwarzenbach an der Saale,50.2167,11.9333
1945,Schwarzbach bei Ruhland,51.4511232647991,13.9355315979004
4442,Zwenkau,51.2175,12.324167
17094,Cammin bei Neubrandenburg Godenswege,53.45782,13.28886
22763,Hamburg Altona,53.55506,9.94196
19075,Warsow bei Schwerin Kothendorf,53.54592,11.28449
8301,Bad Schlema,50.6167,12.6667
35041,Marburg / Lahn,50.8167,8.76667
38899,Hasselfelde,51.69092,10.85425
17424,Heringsdorf,53.958057,14.152376
25938,Wrixum,54.6997622741,8.54672753866
80331,München,48.1374,11.5755
17033,Neubrandenburg,53.5503852720596,13.2232696716309
4509,Krostitz,51.46221,12.45321
2826,Görlitz,51.15268,14.97056
1917,Kamenz,51.27377,14.10357
95326,Kulmbach,50.1,11.45
70178,Stuttgart,48.7823,9.177
18276,Glasewitz Dehmen,53.80255,12.2823100000001
8233,Treuen,50.55,12.3
9353,Oberlungwitz,50.7833,12.7167
22179,Hamburg Wandsbek,53.581944,10.084167
9484,Kurort Oberwiesenthal,50.4167,12.9833
6188,Hohenthurm,51.51966,12.0979
99086,Erfurt,50.9833,11.0333
1609,Wülknitz bei Riesa,51.3691113511446,13.392618560791
4924,Bad Liebenwerda Lausitz,51.5123,13.35296
7407,Remda-Teichel Teichel,50.7644,11.25
1594,Hirschstein bei Riesa,51.263160836931,13.3930047988891
17459,Zempin,54.06737,13.96479
26122,Oldenburg in Oldenburg,53.15035,8.21063000000004
38640,Goslar,51.90839,10.4468091534424
19288,Wöbbelin Dreenkrögen,53.41869,11.4969599999999
19243,Wittenburg,53.46441,11.10842
17039,Woggersin,53.60729,13.2317399999999
20357,Hamburg Altona,53.55506,9.94196
23683,Scharbeutz,54.0352,10.7512
4420,Markranstädt,51.3,12.2333
19395,Wendisch Priborn Tönchow,53.34181,12.3207600000001
1309,Dresden,51.05,13.75
1662,Meißen,51.1633504354592,13.4812400634765
44139,Dortmund,51.504225397481,7.48365411122495
60599,Frankfurt am Main,50.1167,8.68333
63071,Offenbach am Main,50.1,8.76667
51147,Köln,50.9333,6.95
22769,Hamburg Altona,53.55506,9.94196
64331,Weiterstadt,49.9078,8.59528
4600,Altenburg,50.9884,12.4447
24966,Sörup,54.7171894363864,9.6696169972343
25451,Quickborn,53.73186,9.90396
24340,Windeby,54.462724215,9.81717886329
40235,Düsseldorf,51.220507741497,6.81216996826174
26605,Aurich,53.4839,7.51512
23566,Lübeck,53.86956,10.68713
4435,Schkeuditz,51.3945595453453,12.2241874920654
1159,Dresden,51.05,13.75
1169,Dresden,51.05,13.75
9573,Leubsdorf,50.8,13.1667
60437,Frankfurt am Main Bonames,50.1167,8.68333
1936,Straßgräbchen,51.35554,14.06758
61118,Bad Vilbel,50.1833,8.75
82031,Grünwald,48.05,11.5167
1591,Riesa,51.3063320341141,13.2878978729248
9669,Frankenberg / Sachsen,50.9167,13.0333
1844,Neustadt in Sachsen,51.02528,14.2111
9633,Halsbrücke,50.95,13.35
24939,Flensburg Nordstadt,54.81037,9.42185
20251,Hamburg Hamburg-Nord,53.6153,9.99269
22609,Hamburg Altona,53.55506,9.94196
14770,Brandenburg an der Havel,52.414082454492,12.5309455871582
21629,Neu Wulmstorf,53.46442,9.80046
7549,Gera Debschwitz,50.8667,12.0833
24148,Kiel,54.3226843669499,10.1358638465405
24220,Böhnhusen,54.2239373716,10.0552116111
60528,Frankfurt am Main Seckbach,50.1167,8.68333
1558,Großenhain,51.2914459048752,13.5314713001251
53520,Kaltenborn bei Adenau,50.4,7.01667
50968,Köln,50.9333,6.95
60549,Frankfurt am Main,50.1167,8.68333
68161,Mannheim Schwetzingerstadt,49.4883,8.46472
4539,Groitzsch bei Pegau,51.15,12.2833
99096,Erfurt,50.9833,11.0333
6116,Halle (Saale),51.4804145230098,11.9688556269837
24837,Schleswig,54.51808,9.57038
23942,Dassow Lütgenhof,53.90075,10.9746299999999
18233,Am Salzhaff,54.03283,11.57417
47638,Straelen,51.4428318500105,6.26589752380369
50735,Köln,50.9333,6.95
38518,Gifhorn,52.47827,10.54901
9243,Niederfrohna,50.9,12.7167
8412,Werdau,50.7333,12.3833
1987,Schwarzheide,51.4823378820003,13.8672149841309
8468,Heinsdorfergrund,50.6222,12.3722
9509,Pockau,50.7,13.2333
9579,Borstendorf,50.7833,13.1667
1458,Ottendorf-Okrilla,51.18304,13.8323399999999
23611,Bad Schwartau,53.92105,10.67955
38442,Wolfsburg,52.43788,10.7663700000001
1324,Dresden,51.05,13.75
1279,Dresden,51.05,13.75
50858,Köln,50.9333,6.95
65719,Hofheim am Taunus,50.0833,8.45
8112,Wilkau-Haßlau,50.6667,12.5167
26842,Ostrhauderfehn,53.13332,7.62069999999994
19406,Hohen Pritz Kukuk,53.6389,11.91905
26133,Oldenburg in Oldenburg,53.15035,8.21063000000004
24149,Kiel,54.3226843669499,10.1358638465405
22941,Jersbek,53.74119,10.2218
34225,Baunatal,51.2539753629014,9.41478172485358
44789,Bochum,51.46785,7.19654000000003
4654,Frohburg,51.05,12.55
18107,Rostock,54.08369,12.10063
1187,Dresden,51.05,13.75
86899,Landsberg am Lech,48.05,10.8667
2943,Boxberg / Oberlausitz,51.4035875763178,14.5776004974365
6179,Schkopau,51.38924,11.98541
6780,Zörbig,51.62816,12.1197099999999
17348,Lindetal,53.4787532391702,13.4309141693116
65824,Schwalbach am Taunus,50.15,8.53333
19077,Lübesse Ortkrug,53.4873,11.47016
17036,Neubrandenburg,53.56603,13.26944
80634,München,48.1374,11.5755
1731,Kreischa bei Dresden,50.9441056484577,13.7597477142334
7546,Gera,50.8667,12.0833
4849,Bad Düben,51.594443525229,12.5893004074096
83026,Rosenheim,47.85,12.1333
4249,Leipzig,51.3396,12.3713
8309,Eibenstock,50.5167,12.6
19073,Dümmer Walsmühlen,53.56353,11.2614100000001
18337,Marlow bei Ribnitz-Damgarten Allerstorf,54.1769474531384,12.5438551428223
60389,Frankfurt am Main,50.1167,8.68333
34123,Kassel,51.316944,9.4925
56766,Filz,50.1667,6.98333
8393,Meerane,50.85,12.4667
22761,Hamburg Altona,53.55506,9.94196
1768,Glashütte,50.85184,13.7750599999999
93142,Maxhütte-Haidhof,49.2025,12.0981
70629,Stuttgart,48.7823,9.177
8340,Schwarzenberg / Erzgebirge,50.55,12.7833
9130,Chemnitz,50.8333,12.9167
99869,Wandersleben,50.9,10.85
18334,Dettmannsdorf bei Bad Sülze Wöpkendorf,54.12268,12.50668
17373,Ueckermünde Ueckermünde,53.73909,14.04145
10783,Berlin Tempelhof-Schöneberg,52.44763,13.38535
80637,München,48.1374,11.5755
24159,Kiel Schilksee,54.4168702366492,10.1695141702891
6132,Halle (Saale),51.4804145230098,11.9688556269837
1468,Moritzburg bei Dresden,51.1592183153795,13.680210095215
14167,Berlin Steglitz-Zehlendorf,52.44364,13.22908
23570,Lübeck,53.86956,10.68713
9488,Thermalbad Wiesenbad Plattenthal,50.6167,13.0167
1471,Radeburg,51.2131855840929,13.7233858306885
9429,Wolkenstein,50.65,13.0833
80939,München,48.1374,11.5755
48151,Münster,51.95172,7.62522999999999
22047,Hamburg Wandsbek,53.581944,10.084167
